metric,sex,gestational_age_in_days,l,m,s
weight,f,268,0.24901361,3106.250562,0.153380392
weight,m,268,0.642981577,3214.478594,0.140988873
length,f,268,1,48.86376907,0.049169431
hc,f,268,1,33.75042611,0.04201427
length,m,268,1,49.55967392,0.047090721
hc,m,268,1,34.10825551,0.042664531
weight,f,269,0.240248532,3133.773878,0.152669544
weight,m,269,0.632356779,3243.693249,0.140041571
length,f,269,1,49.00112452,0.048805059
hc,f,269,1,33.83450515,0.041805395
length,m,269,1,49.69731597,0.046804756
hc,m,269,1,34.19025933,0.04248806
weight,f,270,0.231922364,3160.796583,0.151988086
weight,m,270,0.621946788,3272.878817,0.139125152
length,f,270,1,49.13721958,0.048443737
hc,f,270,1,33.91755274,0.041598074
length,m,270,1,49.83397168,0.046521302
hc,m,270,1,34.27142592,0.042312062
weight,f,271,0.22402434,3187.352877,0.151334703
weight,m,271,0.611746785,3302.056977,0.138240059
length,f,271,1,49.27209155,0.048085733
hc,f,271,1,33.99959312,0.041392401
length,m,271,1,49.96969584,0.046240476
hc,m,271,1,34.35178447,0.042136571
weight,f,272,0.216543698,3213.502428,0.150708081
weight,m,272,0.601751954,3331.249407,0.137386734
length,f,272,1,49.4057777,0.047731314
hc,f,272,1,34.08065053,0.041188475
length,m,272,1,50.10454327,0.045962396
hc,m,272,1,34.4313642,0.041961622
weight,f,273,0.209469671,3239.306012,0.150106904
weight,m,273,0.591957477,3360.477788,0.13656562
length,f,273,1,49.53831534,0.04738075
hc,f,273,1,34.1607492,0.040986391
length,m,273,1,50.23856877,0.045687181
hc,m,273,1,34.51019432,0.04178725
weight,f,274,0.202791496,3264.824403,0.149529858
weight,m,274,0.582358537,3389.763799,0.13577716
length,f,274,1,49.66974176,0.047034308
hc,f,274,1,34.23991339,0.040786246
length,m,274,1,50.37182715,0.045414948
hc,m,274,1,34.58830403,0.041613491
weight,f,275,0.196498409,3290.118378,0.148975626
weight,m,275,0.572950316,3419.129118,0.135021795
length,f,275,1,49.80009424,0.046692257
hc,f,275,1,34.31816733,0.040588136
length,m,275,1,50.50437322,0.045145814
hc,m,275,1,34.66572253,0.041440378
weight,f,276,0.190579644,3315.248711,0.148442895
weight,m,276,0.563727998,3448.595426,0.13429997
length,f,276,1,49.92941008,0.046354865
hc,f,276,1,34.39553526,0.040392157
length,m,276,1,50.63626177,0.044879899
hc,m,276,1,34.74247905,0.041267948
weight,f,277,0.185024438,3340.275942,0.14793035
weight,m,277,0.554686765,3478.184401,0.133612125
length,f,277,1,50.05772657,0.0460224
hc,f,277,1,34.47204142,0.040198407
length,m,277,1,50.76754763,0.044617319
hc,m,277,1,34.81860277,0.041096235
weight,f,278,0.179822026,3365.25521,0.147436674
weight,m,278,0.545821799,3507.917724,0.132958705
length,f,278,1,50.18508099,0.04569513
hc,f,278,1,34.54771005,0.040006981
length,m,278,1,50.8982856,0.044358193
hc,m,278,1,34.89412292,0.040925275
weight,f,279,0.174961642,3390.236247,0.146960554
weight,m,279,0.537128284,3537.817073,0.132340151
length,f,279,1,50.31151066,0.045373324
hc,f,279,1,34.6225654,0.039817976
length,m,279,1,51.02853048,0.044102638
hc,m,279,1,34.9690687,0.040755101
weight,f,280,0.170432523,3415.268552,0.146500674
weight,m,280,0.528601402,3567.904128,0.131756907
length,f,280,1,50.43705284,0.04505725
hc,f,280,1,34.6966317,0.039631489
length,m,280,1,51.15833708,0.043850773
hc,m,280,1,35.04346932,0.04058575
weight,f,281,0.166223902,3440.401625,0.146055719
weight,m,281,0.520236336,3598.200568,0.131209414
length,f,281,1,50.56174484,0.044747176
hc,f,281,1,34.7699332,0.039447615
length,m,281,1,51.2877602,0.043602715
hc,m,281,1,35.11735398,0.040417256
weight,f,282,0.162325015,3465.684964,0.145624374
weight,m,282,0.512028268,3628.728073,0.130698115
length,f,282,1,50.68562394,0.04444337
hc,f,282,1,34.84249413,0.039266452
length,m,282,1,51.41685467,0.043358582
hc,m,282,1,35.19075189,0.040249654
weight,f,283,0.158725096,3491.168068,0.145205325
weight,m,283,0.503972381,3659.508322,0.130223454
length,f,283,1,50.80872745,0.0441461
hc,f,283,1,34.91433874,0.039088096
length,m,283,1,51.54567527,0.043118492
hc,m,283,1,35.26369226,0.040082979
weight,f,284,0.155413382,3516.899201,0.144797277
weight,m,284,0.496063923,3690.56229,0.129785829
length,f,284,1,50.93109207,0.043855627
hc,f,284,1,34.98549096,0.038912639
length,m,284,1,51.67427546,0.042882559
hc,m,284,1,35.33620382,0.039917265
weight,f,285,0.152379107,3542.898234,0.144399431
weight,m,285,0.488299647,3721.894757,0.129384655
length,f,285,1,51.05274161,0.043572036
hc,f,285,1,35.05596778,0.03874011
length,m,285,1,51.8026775,0.04265082
hc,m,285,1,35.40830411,0.039752523
weight,f,286,0.14961151,3569.156641,0.144011478
weight,m,286,0.480677808,3753.494308,0.129018362
length,f,286,1,51.17368691,0.043295235
hc,f,286,1,35.1257792,0.03857047
length,m,286,1,51.93087245,0.042423233
hc,m,286,1,35.47999954,0.039588739
weight,f,287,0.147099826,3595.664661,0.143633134
weight,m,287,0.473196729,3785.348823,0.128685336
length,f,287,1,51.29393824,0.043025125
hc,f,287,1,35.19493494,0.038403675
length,m,287,1,52.05885,0.04219975
hc,m,287,1,35.55129602,0.0394259
weight,f,288,0.144833294,3622.412536,0.143264112
weight,m,288,0.46585473,3817.44618,0.128383963
length,f,288,1,51.41350589,0.042761607
hc,f,288,1,35.26344472,0.038239684
length,m,288,1,52.18659986,0.041980327
hc,m,288,1,35.62219946,0.039263992
weight,f,289,0.142801151,3649.390505,0.142904127
weight,m,289,0.458650133,3849.774262,0.128112629
length,f,289,1,51.53240013,0.042504581
hc,f,289,1,35.33131825,0.038078454
length,m,289,1,52.31411173,0.041764918
hc,m,289,1,35.69271576,0.039103
weight,f,290,0.140992633,3676.588809,0.142552893
weight,m,290,0.451581261,3882.320948,0.127869722
length,f,290,1,51.65063126,0.042253949
hc,f,290,1,35.39856524,0.037919944
length,m,290,1,52.44137531,0.041553477
hc,m,290,1,35.76285084,0.03894291
weight,f,291,0.139396977,3703.997671,0.142210123
weight,m,291,0.444646433,3915.074118,0.127653627
length,f,291,1,51.76820954,0.042009612
hc,f,291,1,35.46519541,0.037764111
length,m,291,1,52.5683803,0.041345959
hc,m,291,1,35.83261061,0.03878371
weight,f,292,0.138003418,3731.606927,0.141875534
weight,m,292,0.437843973,3948.021652,0.12746273
length,f,292,1,51.88514527,0.04177147
hc,f,292,1,35.53121846,0.037610914
length,m,292,1,52.6951164,0.041142317
hc,m,292,1,35.90200098,0.038625384
weight,f,293,0.136801183,3759.406025,0.141548837
weight,m,293,0.431172201,3981.151432,0.127295419
length,f,293,1,52.00144872,0.041539424
hc,f,293,1,35.59664412,0.037460309
length,m,293,1,52.82157333,0.040942506
hc,m,293,1,35.97102786,0.038467919
weight,f,294,0.135779503,3787.384395,0.141229749
weight,m,294,0.42462944,4014.451338,0.127150079
length,f,294,1,52.11713017,0.041313375
hc,f,294,1,35.6614821,0.037312256
length,m,294,1,52.94774077,0.040746481
hc,m,294,1,36.03969716,0.0383113
weight,f,295,0.134927606,3815.53147,0.140917982
weight,m,295,0.41821401,4047.909251,0.127025096
length,f,295,1,52.2321999,0.041093224
hc,f,295,1,35.72574211,0.037166711
length,m,295,1,53.07360843,0.040554195
hc,m,295,1,36.10801479,0.038155514
weight,f,296,0.134234722,3843.83668,0.140613252
weight,m,296,0.411924233,4081.513052,0.126918857
length,f,296,1,52.3466682,0.040878872
hc,f,296,1,35.78943387,0.037023632
length,m,296,1,53.19916601,0.040365602
hc,m,296,1,36.17598666,0.038000547
weight,f,297,0.133690079,3872.289458,0.140315272
weight,m,297,0.40575843,4115.250622,0.126829748
length,f,297,1,52.46054535,0.04067022
hc,f,297,1,35.85256708,0.036882978
length,m,297,1,53.32440322,0.040180657
hc,m,297,1,36.24361868,0.037846384
weight,f,298,0.133282907,3900.879237,0.140023757
weight,m,298,0.399714924,4149.109841,0.126756156
length,f,298,1,52.57384162,0.040467168
hc,f,298,1,35.91515147,0.036744705
length,m,298,1,53.44930975,0.039999315
hc,m,298,1,36.31091676,0.037693012
weight,f,299,0.133002451,3929.595558,0.139738421
weight,m,299,0.393792036,4183.078589,0.126696466
length,f,299,1,52.68656731,0.040269618
hc,f,299,1,35.97719675,0.036608773
length,m,299,1,53.57387531,0.039821528
hc,m,299,1,36.37788681,0.037540417
weight,f,300,0.132837969,3958.42806,0.139458977
weight,m,300,0.387988088,4217.144745,0.126649066
length,f,300,1,52.79873268,0.04007747
hc,f,300,1,36.03871262,0.036475139
length,m,300,1,53.6980896,0.039647253
hc,m,300,1,36.44453475,0.037388584
weight,f,301,0.132778719,3987.366391,0.139185141
weight,m,301,0.382301401,4251.296186,0.126612343
length,f,301,1,52.91034802,0.039890625
hc,f,301,1,36.09970881,0.03634376
length,m,301,1,53.82194232,0.039476442
hc,m,301,1,36.51086648,0.0372375
weight,f,302,0.132813962,4016.400196,0.138916627
weight,m,302,0.376730296,4285.520791,0.126584682
length,f,302,1,53.02142361,0.039708984
hc,f,302,1,36.16019503,0.036214595
length,m,302,1,53.94542316,0.039309051
hc,m,302,1,36.57688791,0.037087151
weight,f,303,0.132932956,4045.51912,0.138653148
weight,m,303,0.371273096,4319.806438,0.12656447
length,f,303,1,53.13196973,0.039532449
hc,f,303,1,36.22018099,0.036087602
length,m,303,1,54.06852184,0.039145033
hc,m,303,1,36.64260496,0.036937522
weight,f,304,0.133124959,4074.71281,0.138394419
weight,m,304,0.365928123,4354.141005,0.126550095
length,f,304,1,53.24199665,0.039360919
hc,f,304,1,36.2796764,0.035962737
length,m,304,1,54.19122806,0.038984342
hc,m,304,1,36.70802353,0.0367886
weight,f,305,0.13337923,4103.97091,0.138140155
weight,m,305,0.360693697,4388.51237,0.126539942
length,f,305,1,53.35151468,0.039194296
hc,f,305,1,36.33869097,0.03583996
length,m,305,1,54.3135315,0.038826934
hc,m,305,1,36.77314953,0.036640371
weight,f,306,0.133684971,4133.283042,0.137890069
weight,m,306,0.355568141,4422.908418,0.126532399
length,f,306,1,53.46053407,0.03903248
hc,f,306,1,36.39723443,0.035719227
length,m,306,1,54.43542189,0.038672762
hc,m,306,1,36.83798887,0.036492821
weight,f,307,0.134031331,4162.638802,0.137643875
weight,m,307,0.350549775,4457.317035,0.126525849
length,f,307,1,53.56906512,0.038875373
hc,f,307,1,36.45531649,0.035600497
length,m,307,1,54.55688891,0.03852178
hc,m,307,1,36.90254747,0.036345935
weight,f,308,0.134407459,4192.027788,0.137401289
weight,m,308,0.345636921,4491.726109,0.126518679
length,f,308,1,53.6771181,0.038722875
hc,f,308,1,36.51294686,0.035483728
length,m,308,1,54.67792228,0.038373942
hc,m,308,1,36.96683124,0.0361997
weight,f,309,0.134802501,4221.439596,0.137162023
weight,m,309,0.3408279,4526.123529,0.126509272
length,f,309,1,53.78470331,0.038574888
hc,f,309,1,36.57013525,0.035368877
length,m,309,1,54.79851169,0.038229204
hc,m,309,1,37.03084608,0.036054102
weight,f,310,0.135205605,4250.863822,0.136925793
weight,m,310,0.336121032,4560.497182,0.126496016
length,f,310,1,53.89183102,0.038431311
hc,f,310,1,36.62689139,0.035255902
length,m,310,1,54.91864686,0.038087519
hc,m,310,1,37.09459792,0.035909126
weight,f,311,0.135605918,4280.290063,0.136692312
weight,m,311,0.331514641,4594.834957,0.126477295
length,f,311,1,53.99851152,0.038292046
hc,f,311,1,36.68322498,0.035144761
length,m,311,1,55.03831749,0.037948841
hc,m,311,1,37.15809265,0.035764759
weight,f,312,0.135992597,4309.707915,0.136461295
weight,m,312,0.327007045,4629.124741,0.126451493
length,f,312,1,54.10475508,0.038156994
hc,f,312,1,36.73914575,0.035035412
length,m,312,1,55.15751328,0.037813125
hc,m,312,1,37.2213362,0.035620987
weight,f,313,0.136354996,4339.106966,0.136232455
weight,m,313,0.322596568,4663.354403,0.126417
length,f,313,1,54.21057199,0.038026056
hc,f,313,1,36.7946634,0.034927813
length,m,313,1,55.27622393,0.037680324
hc,m,313,1,37.28433447,0.035477796
weight,f,314,0.136682672,4368.476795,0.136005508
weight,m,314,0.318281533,4697.511797,0.126372206
length,f,314,1,54.31597252,0.037899132
hc,f,314,1,36.84978765,0.034821921
length,m,314,1,55.39443913,0.037550394
hc,m,314,1,37.34709336,0.035335172
weight,f,315,0.136965189,4397.806981,0.135780167
weight,m,315,0.314060262,4731.584772,0.1263155
length,f,315,1,54.42096695,0.037776124
hc,f,315,1,36.9045282,0.034717695
length,m,315,1,55.51214858,0.037423288
hc,m,315,1,37.40961879,0.0351931
weight,f,316,0.137192111,4427.087105,0.135556147
weight,m,316,0.309931079,4765.561181,0.126245275
length,f,316,1,54.52556555,0.037656933
hc,f,316,1,36.95889475,0.034615092
length,m,316,1,55.62934196,0.037298961
hc,m,316,1,37.47191667,0.035051567
weight,f,317,0.137353002,4456.306744,0.135333162
weight,m,317,0.305892307,4799.428875,0.12615992
length,f,317,1,54.6297786,0.037541458
hc,f,317,1,37.01289702,0.03451407
length,m,317,1,55.74600897,0.037177367
hc,m,317,1,37.53399289,0.034910559
weight,f,318,0.137437427,4485.455479,0.135110926
weight,m,318,0.301942268,4833.175705,0.126057827
length,f,318,1,54.73361636,0.037429602
hc,f,318,1,37.06654472,0.034414588
length,m,318,1,55.86213931,0.03705846
hc,m,318,1,37.59585337,0.034770061
weight,f,319,0.137434917,4514.523063,0.13488916
weight,m,319,0.29807927,4866.789759,0.125937447
length,f,319,1,54.83708913,0.037321265
hc,f,319,1,37.11984755,0.034316602
length,m,319,1,55.9777232,0.036942194
hc,m,319,1,37.65750401,0.034630061
weight,f,320,0.137334259,4543.503301,0.134667717
weight,m,320,0.294301239,4900.264542,0.125798671
length,f,320,1,54.94020717,0.037216349
hc,f,320,1,37.17281523,0.034220071
length,m,320,1,56.0927634,0.036828509
hc,m,320,1,37.71895072,0.034490543
weight,f,321,0.137123494,4572.394042,0.134446588
weight,m,321,0.290605724,4933.598979,0.125642822
length,f,321,1,55.04298081,0.037114752
hc,f,321,1,37.22545751,0.034124952
length,m,321,1,56.20727518,0.03671733
hc,m,321,1,37.78019944,0.034351494
weight,f,322,0.13679063,4601.193312,0.134225767
weight,m,322,0.286990255,4966.79223,0.125471287
length,f,322,1,55.14542034,0.037016378
hc,f,322,1,37.27778411,0.034031203
length,m,322,1,56.32127433,0.036608583
hc,m,322,1,37.84125609,0.0342129
weight,f,323,0.136323674,4629.899137,0.134005251
weight,m,323,0.283452364,4999.843455,0.125285453
length,f,323,1,55.24753607,0.036921125
hc,f,323,1,37.32980477,0.033938783
length,m,323,1,56.43477668,0.036502192
hc,m,323,1,37.90212658,0.034074747
weight,f,324,0.135710637,4658.509542,0.133785034
weight,m,324,0.279989583,5032.751814,0.125086706
length,f,324,1,55.34933829,0.036828895
hc,f,324,1,37.38152922,0.033847648
length,m,324,1,56.54779803,0.036398082
hc,m,324,1,37.96281684,0.03393702
weight,f,325,0.134939526,4687.022555,0.133565112
weight,m,325,0.276599443,5065.516467,0.124876434
length,f,325,1,55.45083733,0.036739588
hc,f,325,1,37.43296721,0.033757756
length,m,325,1,56.66035419,0.036296179
hc,m,325,1,38.02333281,0.033799707
weight,f,326,0.13399847,4715.43619,0.13334548
weight,m,326,0.273279475,5098.136563,0.124656025
length,f,326,1,55.55204346,0.036653105
hc,f,326,1,37.48412846,0.033669066
length,m,326,1,56.77246097,0.036196407
hc,m,326,1,38.08368038,0.033662791
weight,f,327,0.132878381,4743.748247,0.133126134
weight,m,327,0.270027224,5130.611009,0.124426902
length,f,327,1,55.65296696,0.036569348
hc,f,327,1,37.53502266,0.033581535
length,m,327,1,56.88413409,0.036098691
hc,m,327,1,38.14386547,0.033526261
weight,f,328,0.131572954,4771.956304,0.132907069
weight,m,328,0.266840247,5162.938464,0.124190528
length,f,328,1,55.753618,0.036488217
hc,f,328,1,37.58565944,0.033495121
length,m,328,1,56.9953892,0.036002959
hc,m,328,1,38.20389394,0.033390101
weight,f,329,0.130076002,4800.057931,0.132688282
weight,m,329,0.263716101,5195.117581,0.123948364
length,f,329,1,55.8540068,0.036409615
hc,f,329,1,37.63604844,0.033409782
length,m,329,1,57.10624193,0.035909135
hc,m,329,1,38.26377163,0.033254299
weight,f,330,0.128381342,4828.050698,0.132469767
weight,m,330,0.260652344,5227.14701,0.123701873
length,f,330,1,55.95414354,0.036333443
hc,f,330,1,37.68619929,0.033325477
length,m,330,1,57.21670794,0.035817145
hc,m,330,1,38.32350442,0.033118839
weight,f,331,0.126482787,4855.932174,0.132251522
weight,m,331,0.257646533,5259.0254,0.123452516
length,f,331,1,56.05403842,0.036259603
hc,f,331,1,37.73612163,0.033242165
length,m,331,1,57.32680287,0.035726915
hc,m,331,1,38.38309817,0.032983709
weight,f,332,0.124374153,4883.699928,0.132033541
weight,m,332,0.254696225,5290.751405,0.123201756
length,f,332,1,56.15370163,0.036187996
hc,f,332,1,37.78582508,0.033159802
length,m,332,1,57.43654235,0.035638371
hc,m,332,1,38.44255874,0.032848894
weight,f,333,0.122048803,4911.351566,0.131815822
weight,m,333,0.251798976,5322.323713,0.122951049
length,f,333,1,56.25314338,0.036118525
hc,f,333,1,37.83531928,0.033078347
length,m,333,1,57.54594205,0.035551438
hc,m,333,1,38.50189199,0.03271438
weight,f,334,0.119489717,4938.885511,0.131598357
weight,m,334,0.248952294,5353.741925,0.122701717
length,f,334,1,56.35237407,0.036051089
hc,f,334,1,37.88461406,0.032997758
length,m,334,1,57.65501791,0.035466042
hc,m,334,1,38.5611039,0.032580154
weight,f,335,0.116669491,4966.301004,0.131381142
weight,m,335,0.246153642,5385.006554,0.122454946
length,f,335,1,56.45140428,0.035985586
hc,f,335,1,37.93371943,0.032917991
length,m,335,1,57.7637862,0.035382104
hc,m,335,1,38.62020056,0.0324462
weight,f,336,0.11356027,4993.597322,0.13116417
weight,m,336,0.24340048,5416.118152,0.122211917
length,f,336,1,56.55024462,0.035921913
hc,f,336,1,37.98264541,0.032839003
length,m,336,1,57.87226316,0.035299548
hc,m,336,1,38.67918807,0.032312505
weight,f,337,0.110134199,5020.773742,0.130947436
weight,m,337,0.240690269,5447.07727,0.12197381
length,f,337,1,56.6489057,0.035859969
hc,f,337,1,38.03140201,0.03276075
length,m,337,1,57.98046507,0.035218297
hc,m,337,1,38.73807251,0.032179054
weight,f,338,0.106363422,5047.829539,0.130730932
weight,m,338,0.238020468,5477.884459,0.121741806
length,f,338,1,56.7473981,0.035799651
hc,f,338,1,38.07999924,0.032683188
length,m,338,1,58.0884082,0.035138273
hc,m,338,1,38.79685999,0.032045833
weight,f,339,0.102220084,5074.763992,0.130514653
weight,m,339,0.235388538,5508.540271,0.121517085
length,f,339,1,56.84573243,0.035740857
hc,f,339,1,38.12844712,0.032606275
length,m,339,1,58.1961088,0.035059399
hc,m,339,1,38.8555566,0.031912827
weight,f,340,0.097682692,5101.576243,0.130298593
weight,m,340,0.232791947,5539.04511,0.121300851
length,f,340,1,56.94391927,0.035683486
hc,f,340,1,38.17675564,0.032529967
length,m,340,1,58.30358309,0.034981598
hc,m,340,1,38.91416841,0.031780022
weight,f,341,0.092876069,5128.262384,0.13008275
weight,m,341,0.230228336,5569.395981,0.121094808
length,f,341,1,57.04196844,0.035627441
hc,f,341,1,38.22493409,0.032454223
length,m,341,1,58.41084617,0.0349048
hc,m,341,1,38.97270108,0.031647403
weight,f,342,0.08807136,5154.815452,0.129867124
weight,m,342,0.22769552,5599.586488,0.120901168
length,f,342,1,57.13988908,0.035572636
hc,f,342,1,38.2729911,0.032379007
length,m,342,1,58.51791205,0.034828937
hc,m,342,1,39.03115986,0.03151496
weight,f,343,0.083546067,5181.228351,0.129651717
weight,m,343,0.225191323,5629.61009,0.120722161
length,f,343,1,57.23769028,0.035518983
hc,f,343,1,38.32093526,0.03230428
length,m,343,1,58.62479465,0.034753943
hc,m,343,1,39.08954996,0.03138268
weight,f,344,0.079577695,5207.493987,0.129436529
weight,m,344,0.222713565,5659.460243,0.12056002
length,f,344,1,57.33538111,0.035466393
hc,f,344,1,38.36877514,0.032230006
length,m,344,1,58.73150793,0.034679752
hc,m,344,1,39.14787663,0.03125055
weight,f,345,0.076443749,5233.605264,0.129221563
weight,m,345,0.220260071,5689.130406,0.120416976
length,f,345,1,57.43297067,0.03541478
hc,f,345,1,38.41651933,0.032156147
length,m,345,1,58.83806583,0.034606298
hc,m,345,1,39.20614507,0.031118557
weight,f,346,0.074421732,5259.555087,0.12900682
weight,m,346,0.217828663,5718.614036,0.120295261
length,f,346,1,57.53046804,0.035364056
hc,f,346,1,38.46417643,0.032082666
length,m,346,1,58.9444823,0.034533515
hc,m,346,1,39.26436052,0.03098669
weight,f,347,0.073774271,5285.337533,0.128792299
weight,m,347,0.215417097,5747.905895,0.120196914
length,f,347,1,57.6278826,0.035314131
hc,f,347,1,38.51175528,0.032009525
length,m,347,1,59.05077169,0.034461334
hc,m,347,1,39.32252835,0.030854936
weight,f,348,0.074421807,5310.97364,0.128577969
weight,m,348,0.213021595,5777.030762,0.120119525
length,f,348,1,57.7252301,0.035264851
hc,f,348,1,38.55927077,0.031936659
length,m,348,1,59.15695821,0.034389642
hc,m,348,1,39.38065764,0.030723273
weight,f,349,0.075942591,5336.511405,0.128363768
weight,m,349,0.210636847,5806.043431,0.120056237
length,f,349,1,57.82253272,0.035216005
hc,f,349,1,38.60674386,0.031863977
length,m,349,1,59.26307586,0.034318276
hc,m,349,1,39.43876112,0.030591671
weight,f,350,0.0779,5362,0.12814963
weight,m,350,0.208257477,5835,0.12
length,f,350,1,57.9198129,0.035167375
hc,f,350,1,38.65419574,0.031791387
length,m,350,1,59.36915908,0.034247073
hc,m,350,1,39.4968517,0.0304601
